12/jan.,ações/dolar (nu),"-R$ 3.010,00",22/fev.,taxa manutenção girassois,"-R$ 89,34",07/mar.,tesouro maiara,"-R$ 255,77",10/abr.,naufel tennis,"-R$ 230,00",9/mai.,naufel tennis,"-R$ 230,00",9/jun.,naufel tennis,"-R$ 230,00",07/jul.,piano,"-R$ 1.005,00",8/ago.,naufel tennis,"-R$ 230,00",8/set.,piscina,"-R$ 150,00",06/out.,naufel tennis,"-R$ 250,00",23/nov.,cpfl,"-R$ 103,76",11/dez.,piscina,"-R$ 150,00"
17/jan.,cpfl,"-R$ 102,15",9/fev.,naufel tennis,"-R$ 230,00",21/mar.,taxa manutenção girassois,"-R$ 89,34",6/abr.,piscina,"-R$ 150,00",8/mai.,piscina,"-R$ 150,00",7/jun.,piscina,"-R$ 150,00",25/jul.,net,"-R$ 413,42",08/ago.,piscina,"-R$ 150,00",8/set.,piano,"-R$ 1.165,00",07/out.,piscina,"-R$ 150,00",23/set.,net,"-R$ 520,84",24/dez.,cpfl,"-R$ 129,90"
23/jan.,net,"-R$ 406,23",7/fev.,piscina,"-R$ 150,00",13/mar.,naufel tennis,"-R$ 230,00",06/abr.,piano,"-R$ 965,00",08/mai.,piano,"-R$ 965,00",07/jun.,piano,"-R$ 965,00",07/jul.,clear(renda variável),"-R$ 210,00",09/ago.,piano,"-R$ 965,00",25/set.,cpfl,"-R$ 144,00",06/out.,piano,"-R$ 1.165,00",13/nov.,clear(renda variável),"-R$ 820,00",24/dez.,net,"-R$ 564,10"
02/jan.,compra posto,"-R$ 8,50",07/fev.,piano,"-R$ 965,00",8/mar.,piscina,"-R$ 150,00",14/abr.,cpfl,"-R$ 91,02",26/mai.,cpfl,"-R$ 76,19",26/jun.,cpfl,"-R$ 76,90",03/jul.,taxa b3,"-R$ 11,15",25/ago.,net,"-R$ 465,42",25/set.,net,"-R$ 486,74",24/out.,net,"-R$ 455,19",14/nov.,puro gelato,"-R$ 21,00",07/dez.,clear(renda variável),"-R$ 900,00"
02/jan.,taxa B3,"-R$ 19,62",17/fev.,personal trip 100E poly,"-R$ 570,00",07/mar.,piano,"-R$ 990,00",24/abr.,net,"-R$ 418,06",26/mai.,net,"-R$ 403,16",26/jun.,net,"-R$ 420,09",14/jul.,uber maiara,"-R$ 50,00",7/ago.,pergolato,"-R$ 2.000,00",11/set.,clear(renda variável),"-R$ 830,00",09/out.,clear(renda variável),"-R$ 800,00",16/nov.,sp330,"-R$ 52,24",05/dez.,quadra tennis,"-R$ 200,00"
09/jan.,iptu,"-R$ 2.920,54",11/fev.,droga raia,"-R$ 15,71",20/mar.,cpfl,"-R$ 143,40",10/abr.,thermomax 1 março,"-R$ 133,36",03/mai.,teatro dança maiara,"-R$ 20,00",09/jun.,subscrição hglg,"-R$ 1.000,00",11/jul.,cartorio,"-R$ 18,00",10/ago.,clear(renda variável),"-R$ 550,00",04/set.,cenourão,"-R$ 5,03",31/out.,quadra tennis,"-R$ 200,00",16/nov.,dedetização,"-R$ 350,00",05/dez.,mousse cke,"-R$ 39,38"
12/jan.,ipva tucson,"-R$ 2.159,21",22/fev.,net,"-R$ 401,92",21/mar.,net,"-R$ 415,84",10/abr.,thermomax 2,"-R$ 32,14",09/mai.,polilopé,"-R$ 120,00",13/jun.,consulta joão,"-R$ 400,00",17/jul.,cuidadora mamis,"-R$ 260,00",08/ago.,quadra tennis,"-R$ 200,00",15/set.,wise 2,"-R$ 1.500,00",02/out.,maple sorvete,"-R$ 24,00",24/nov.,clear(renda variável),"-R$ 730,00",11/dez.,cerveja condominio,"-R$ 24,00"
09/jan.,compra,"-R$ 9,50",07/fev.,thermomax 1 março,"-R$ 133,32",10/mar.,thermomax 2,"-R$ 32,14",06/abr.,horta,"-R$ 12,00",09/mai.,gasolina,"-R$ 100,00",19/jun.,dolares nomad,"-R$ 2.700,00",31/jul.,PIZZA MAIARA,"-R$ 100,00",03/ago.,museu,"-R$ 3,76",15/set.,nomad2,"-R$ 1.800,00",18/out.,matricula maple,"-R$ 1.600,00",27/nov.,puro gelato,"-R$ 19,00",20/dez.,caixa piscina,"-R$ 120,00"
17/jan.,nu clear,"-R$ 400,00",14/fev.,thermomax 2,"-R$ 32,14",24/mar.,investimento,"-R$ 200,00",06/abr.,investimento dolares,"-R$ 2.000,00",31/mai.,poly help,"-R$ 3.000,00",21/jun.,puro gelato,"-R$ 18,00",,,,07/ago.,puro gelato,"-R$ 19,00",22/set.,torta acm,"-R$ 38,00",17/out.,estacionamento,"-R$ 12,00",27/nov.,conseto piscina,"-R$ 80,00",20/dez.,clear(renda variável),"-R$ 850,00"
09/jan.,maiara uber,"-R$ 20,00",01/fev.,pix nu - compra dolares,"-R$ 800,00",13/mar.,iptu uberaba neto,"-R$ 46,35",06/abr.,unip,"-R$ 293,99",17/mai.,king waffle,"-R$ 27,00",29/jun.,custas ação,"-R$ 29,70",,,,09/ago.,puro gelato,"-R$ 19,00",,,,19/out.,crea,"-R$ 59,42",28/nov.,dolar nomad,"-R$ 500,00",21/dez.,sp330,"-R$ 130,88"
